Continent/Area,Population,Total_cases,Total_deaths,DeathPercentage,TotalVaccinations,FullyVaccinated,VaccinationPercentage
Africa,1373486472,8817468,224032,2.540774744,9977830,99940916,7.924137749
Asia,4678444992,82038224,1233293,1.503315089,992557054,99163099,51.13547525
Europe,748962983,78536547,1455824,1.85368985,995385521,99317300,59.14905997
European Union,447189915,49564582,864463,1.744114376,97914042,996,67.83925304
High income,1214930230,119745618,1864689,1.557208549,996942003,99717105,68.67216729
Low income,665149040,1389994,37596,2.704759877,9999578,996842,3.460103468
Lower middle income,3330652550,64173591,1169820,1.822899392,990089583,9965352,30.14440918
North America,596581283,59275867,1181963,1.994003732,97366508,992901,55.59583069
Oceania,43219954,326695,3399,1.040419964,99645,999970,56.32345652
South America,434260137,38963517,1172449,3.009094379,99535756,9993265,60.36149894
Upper middle income,2513672790,82649088,2198855,2.660470978,993417238,99863420,67.66831016
World,7874965730,267959904,5270975,1.967076014,985027127,99864809,45.23613114
